,char_img,characters,id,img,lesson_pos,level,mean_mne,meanings,updated,url
378,,?,315,,1,level_28,You stick an umbrella with a big slide on it into the mountainside to make your <radical>barracks</radical>. You're going to use these barracks to teach soldiers how to slide slides and hide from bad weather. It's ingenious!,Barracks,2019-12-31T06:03:51.005987Z,https://www.wanikani.com/radicals/barracks
379,,?,316,,0,level_28,"The life thread is cut with a sword by the Moirai. They are, in Greek mythology, the ones who decide when to let you die, by cutting your life thread. This is probably most well known in the story of <radical>Hercules</radical>, so we'll go with that with this radical.",Hercules,2019-12-31T06:03:51.035801Z,https://www.wanikani.com/radicals/hercules-316
380,,?,317,,2,level_28,This radical is the same as the kanji. It means <radical>specialty</radical>.,Specialty,2019-12-31T06:03:51.067904Z,https://www.wanikani.com/radicals/specialty
381,,?,318,,3,level_28,"I don't know what this thing is, but it's <radical>lovely</radical>. It has two eyes, a funny mouth, and a scraggly beard. It's lovely, and nothing else, okay? So remember it that way.",Lovely,2019-12-31T06:03:51.095227Z,https://www.wanikani.com/radicals/lovely
382,,?,326,,4,level_28,"A big lip ring is a pretty <radical>odd</radical> thing to have. If it's big, it'll stretch your lip out, which is odd too.",Odd,2019-12-31T06:03:51.362555Z,https://www.wanikani.com/radicals/odd
383,,?,319,,0,level_29,"When the sun gets small, you need to heat up by throwing some big horns in the fire. This turns into charcoal. Nice, toasty <radical>charcoal</radical> that keeps you warm when the sun gets small.",Charcoal,2019-12-31T06:03:51.128419Z,https://www.wanikani.com/radicals/charcoal
384,,?,321,,1,level_29,This radical is the same as the kanji. It means <radical>blame</radical>.,Blame,2019-12-31T06:03:51.206495Z,https://www.wanikani.com/radicals/blame
385,,?,322,,2,level_29,This radical is the same as the kanji. It means <radical>district</radical>.,District,2019-12-31T06:03:51.249487Z,https://www.wanikani.com/radicals/district
386,,?,323,,3,level_29,"Hey, it's that giant you learned before. But... but its arms are chained. They're chained because you caught the giant and now it's your <radical>servant</radical>!",Servant,2019-12-31T06:03:51.273898Z,https://www.wanikani.com/radicals/servant
387,,?,324,,4,level_29,"If you look at this radical right, you'll see a <radical>NOSE</radical> (with a squinty eye on the left).",Nose,2019-12-31T06:03:51.313556Z,https://www.wanikani.com/radicals/nose
388,,?,325,,5,level_29,This radical is the same as the kanji. It means <radical>above</radical>.,Above,2019-12-31T06:03:51.339811Z,https://www.wanikani.com/radicals/above
389,,?,162,,0,level_30,This looks a bit like a waiter walking toward you with a platter in their hands... but wait. It's only half of a waiter. It's a <radical>one sided</radical> waiter!,One Sided,2019-12-31T06:03:47.240766Z,https://www.wanikani.com/radicals/one-sided
390,,?,327,,1,level_30,This radical is the same as the kanji. It means <radical>north</radical>.,North,2019-12-31T06:03:51.385834Z,https://www.wanikani.com/radicals/north
391,,?,328,,2,level_30,This radical is the same as the kanji. It means <radical>oversee</radical>.,Oversee,2019-12-31T06:03:51.413849Z,https://www.wanikani.com/radicals/oversee
392,,?,329,,3,level_30,"A thread goes through the ground. It traces your <radical>lineage</radical>. You follow the thread all the way back through many generations, to find out your lineage involves Genghis Khan. Feel the thread and the dirt in your hand and actually trace the lineage.",Lineage,2019-12-31T06:03:51.440922Z,https://www.wanikani.com/radicals/lineage
393,,?,330,,4,level_30,"Poor turtles. We don't like them here. This is a <radical>turtle shell</radical>. See the shell with just a tail remaining? It's the only thing we didn't remove off the turtle. It's just a shell with a tail, so basically it's just a turtle shell.",Turtle Shell,2019-12-31T06:03:51.466130Z,https://www.wanikani.com/radicals/turtle-shell
394,,?,391,,5,level_30,"This kind of looks like big (<ja>?</ja>), which I think you'll remember you learned by pretending this was a big guy. This big guy, however, has a funny leg... a peg leg. That makes him a <radical>pirate</radical>. Also, his arms are in the ""YARRRR"" position.",Pirate,2019-12-31T06:03:53.082192Z,https://www.wanikani.com/radicals/pirate
395,,?,333,,0,level_31,Imagine this in your mouth. It's one tooth that sticks out more than any other. It's your <radical>fang</radical>. Can you see this sticking out of a wolf mouth instead? Try that if you can't picture yourself with a fang this cool.,Fang,2019-12-31T06:03:51.541646Z,https://www.wanikani.com/radicals/fang
396,,?,334,,1,level_31,This radical is the same as the kanji. It means <radical>line up</radical>.,Line Up,2019-12-31T06:03:51.566776Z,https://www.wanikani.com/radicals/line-up
397,,?,335,,0,level_31,"See the potato at the top? Then, like a potato underground it has roots going out of it (to create the next potato, I'm guessing). That's why this radical is <radical>potato</radical>.",Potato,2019-12-31T06:03:51.590133Z,https://www.wanikani.com/radicals/potato-335
398,,?,336,,2,level_31,"He's a creeper and he's Four-T (forty). If someone like this creeps on you, they're just a <radical>bully</radical>. When you get to forty you aren't supposed to creep on people anymore. You bully. You jerk.",Bully,2019-12-31T06:03:51.649234Z,https://www.wanikani.com/radicals/bully
399,,?,337,,3,level_31,"This is a very complicated and tall radical. It has a lid on top to keep the explosiveness in. It also contains a treasure, at least for the people who will receive what's inside. Also, it has a cow, which will be used for milk on Mars. This is a <radical>rocket</radical> filled with goodies for space people.",Rocket,2019-12-31T06:03:51.677107Z,https://www.wanikani.com/radicals/rocket
400,,?,338,,4,level_31,There's a door over the bookcase. That makes this a <radical>library</radical>!,Library,2019-12-31T06:03:51.711222Z,https://www.wanikani.com/radicals/library
401,,?,8829,,5,level_31,This radical is the same as the kanji. It means <radical>guy</radical>.,Guy,2019-12-31T06:08:18.637733Z,https://www.wanikani.com/radicals/guy
402,,?,340,,0,level_32,See the CP in this radical? It stands for <radical>Cat Pirate</radical>. Meoaarrrr.,Cat Pirate,2019-12-31T06:03:51.756129Z,https://www.wanikani.com/radicals/cat-pirate
403,,?,341,,1,level_32,This radical is the same as the kanji. It means <radical>same</radical>.,Same,2019-12-31T06:03:51.798005Z,https://www.wanikani.com/radicals/same
404,,?,342,,2,level_32,This radical is the same as the kanji. It means <radical>night</radical>.,Night,2019-12-31T06:03:51.819531Z,https://www.wanikani.com/radicals/night
405,,?,343,,3,level_32,This radical is the same as the kanji. It means <radical>certain</radical>.,Certain,2019-12-31T06:03:51.865013Z,https://www.wanikani.com/radicals/certain
406,,?,427,,4,level_32,"If you look closely and carefully, sometimes you can see some private legs in winter. Whose legs? <radical>Spider</radical> legs! It's too cold for them in winter, so they hide in cracks and crevices, but sometimes you can see their little leggies sticking out anyway.",Spider,2019-12-31T06:03:54.088085Z,https://www.wanikani.com/radicals/spider
407,,?,433,,5,level_32,"This radical looks like a little house, one that would be perfect in the middle of nowhere, surrounded by bamboo and a little mountain stream. See the roof and the open door? That's why this is the <radical>cottage</radical> radical.",Cottage,2019-12-31T06:03:54.267271Z,https://www.wanikani.com/radicals/cottage
408,https://cdn.wanikani.com/images/1360-subject-8799-normal-weight-black-original.png?1520988430,,8799,156,6,level_32,"You see a leaf ear, better known as an <radical>elf</radical>! Elves are just humans who have ears that are pointy like leaves.",Elf,2019-12-31T06:08:17.731050Z,h
409,,?,344,,0,level_33,This radical is the same as the kanji. It means <radical>interval</radical>.,Interval,2019-12-31T06:03:51.885315Z,https://www.wanikani.com/radicals/interval
410,,?,345,,1,level_33,"Best way to put a lid on the mouth of a child is to put a <radical>sock</radical> in that child's mouth. Shuts them up good, it does. Add a nice fat sock and they can't talk anymore, essentially putting a lid on their mouth.",Sock,2019-12-31T06:03:51.908728Z,https://www.wanikani.com/radicals/sock
411,,?,346,,2,level_33,This radical is the same as the kanji. It means <radical>inside</radical>.,Inside,2019-12-31T06:03:51.930666Z,https://www.wanikani.com/radicals/inside
412,,?,347,,3,level_33,"Your flowers become your servants. You plant them, you water them, you bring them up, then you cut them down and put them in your <radical>storehouse</radical>. They do what you want because they become YOUR servants, not the other way around. That's why you can tell them to sit in the storehouse where they wait until you come to eat them.",Storehouse,2019-12-31T06:03:51.953025Z,https://www.wanikani.com/radicals/storehouse
413,,?,382,,4,level_33,This radical is the same as the kanji. It means <radical>wide</radical>.,Wide,2019-12-31T06:03:52.845548Z,https://www.wanikani.com/radicals/wide
414,https://cdn.wanikani.com/images/1474-subject-8794-normal-weight-black-original.png?1544035170,,8794,136,5,level_33,"In the water is a barb on the ground. It's <radical>coral</radical>. Coral may look pretty, but if you slip in the water and step on it, you're gonna get scratched up. That stuff is roooough.",Coral,2019-12-31T06:08:17.582055Z,h
415,,?,8830,,6,level_33,"The products trees make? That's <radical>syrup</radical>. Delicious maple syrup, for example. Mmmm!",Syrup,2019-12-31T06:08:18.675429Z,https://www.wanikani.com/radicals/syrup
416,,?,348,,0,level_34,See the rock in the <radical>catapult</radical>? It even has little legs to hold it steady so it can catapult better.,Catapult,2019-12-31T06:03:51.975285Z,https://www.wanikani.com/radicals/catapult
417,,?,349,,1,level_34,This radical is the same as the kanji. It means <radical>member</radical>.,Member,2019-12-31T06:03:52.013924Z,https://www.wanikani.com/radicals/member
418,,?,350,,2,level_34,"This looks like a <radical>claw</radical> of some kind already, making it quite easy!",Claw,2019-12-31T06:03:52.046995Z,https://www.wanikani.com/radicals/claw
419,,?,351,,3,level_34,See the guy? See how he was CUT IN HALF??? That must have been one heckuva <radical>slice</radical> to do that to a person.,Slice,2019-12-31T06:03:52.087662Z,https://www.wanikani.com/radicals/slice
420,,?,428,,4,level_34,There's something made of leather with some dirt on the bottom of it. It's a <radical>boot</radical>!,Boot,2019-12-31T06:03:54.126352Z,https://www.wanikani.com/radicals/boot
421,,?,352,,0,level_35,This radical is the same as the kanji. It means <radical>belt</radical>.,Belt,2019-12-31T06:03:52.112191Z,https://www.wanikani.com/radicals/belt
422,,?,353,,1,level_35,"There's a turtle shell inside this <radical>turtle</radical> radical. You can tell because there's a whole head and tail on this thing, making it a real turtle, not just a turtle shell.",Turtle,2019-12-31T06:03:52.134570Z,https://www.wanikani.com/radicals/turtle
423,,?,354,,2,level_35,"See the <radical>shuriken</radical> stuck into the ground? In case you don't know, a shuriken is just a throwing star. Awesome ninjas use them. That's what's in this radical.",Shuriken,2019-12-31T06:03:52.158099Z,https://www.wanikani.com/radicals/shuriken
424,,?,355,,3,level_35,"This radical looks like a big, weird caterpillar bug thing. But, for the sake of everyone's sanity, we'll just call it <radical>sake</radical>, okay?",Sake,2019-12-31T06:03:52.180594Z,https://www.wanikani.com/radicals/sake
425,,?,8831,,4,level_35,"Who wears cleats and takes your measurements for so long that icicles start forming on your body? Your <radical>commander</radical>. The commander is very, very particular. And everyone knows the commander has to get everything exactly right. So taking your measurements takes SO long that icicles grow out of your nose. But that's okay. You have to impress your new commander, darn it!",Commander,2019-12-31T06:08:18.697034Z,https://www.wanikani.com/radicals/commander
426,,?,357,,0,level_36,This radical is the same as the kanji. It means <radical>bright</radical>.,Bright,2019-12-31T06:03:52.229380Z,https://www.wanikani.com/radicals/bright
427,,?,358,,1,level_36,This radical is the same as the kanji. It means <radical>valuable</radical>.,Valuable,2019-12-31T06:03:52.252465Z,https://www.wanikani.com/radicals/valuable
428,,?,359,,2,level_36,This radical is the same as the kanji. It means <radical>departure</radical>.,Departure,2020-01-17T19:19:11.980354Z,https://www.wanikani.com/radicals/departure
429,,?,360,,3,level_36,"This radical is the sun with its hair sticking out. Why is the sun's hair sticking out like this? It ate wayyy too many <radical>sweet</radical> things causing it to have too much energy, making its hair stand on end. It also kind of looks like a sweet, sweet candy with the wrapper sticking out. Remember it how you'd like.",Sweet,2019-12-31T06:03:52.306126Z,https://www.wanikani.com/radicals/sweet
430,,?,361,,4,level_36,This radical is the same as the kanji. It means <radical>south</radical>.,South,2019-12-31T06:03:52.327883Z,https://www.wanikani.com/radicals/south
431,,?,429,,5,level_36,"You see a cow in the evening. You get closer and realize it's doing a <radical>dance</radical>. All cows dance in the evening. Can you picture it? The cow is dancing, so majestic, in the setting sunlight.",Dance,2019-12-31T06:03:54.156249Z,https://www.wanikani.com/radicals/dance
432,,?,363,,0,level_37,There's an explosion around your legs. It was just as the fortune teller warned. This is the <radical>omen</radical> she was talking about. Think about what happens after the omen hits. What horrible fortune teller magic will happen???,Omen,2019-12-31T06:03:52.379612Z,https://www.wanikani.com/radicals/omen
433,,?,364,,1,level_37,This radical is the same as the kanji. It means <radical>prize</radical>.,Prize,2019-12-31T06:03:52.406058Z,https://www.wanikani.com/radicals/prize
434,,?,365,,2,level_37,There's a stick going through some juicy meat. This is a <radical>skewer</radical>.,Skewer,2019-12-31T06:03:52.432036Z,https://www.wanikani.com/radicals/skewer
435,,?,366,,3,level_37,This radical is the same as the kanji. It means <radical>violence</radical>.,Violence,2019-12-31T06:03:52.457000Z,https://www.wanikani.com/radicals/violence
436,,?,395,,4,level_37,Yourself (oneself) is in prison. Look at the prison as it wraps around you. It wraps you up and holds you tight. That's why this is the <radical>wrap</radical> radical!,Wrap,2019-12-31T06:03:53.218833Z,https://www.wanikani.com/radicals/wrap
437,,?,367,,0,level_38,You see something with a flag on it and put it in your mouth. It was spicy! You look at the little flag and it says... <radical>hot pepper</radical>.,Hot Pepper,2019-12-31T06:03:52.478598Z,https://www.wanikani.com/radicals/hot-pepper
438,,?,368,,1,level_38,This radical is the same as the kanji. It means <radical>think</radical>.,Think,2019-12-31T06:03:52.500183Z,https://www.wanikani.com/radicals/think
439,,?,369,,2,level_38,This radical is the same as the kanji. It means <radical>prefecture</radical>.,Prefecture,2019-12-31T06:03:52.525207Z,https://www.wanikani.com/radicals/prefecture
440,,?,370,,3,level_38,This radical is the same as the kanji. It means <radical>sky</radical>.,Sky,2019-12-31T06:03:52.546745Z,https://www.wanikani.com/radicals/sky
441,,?,371,,4,level_38,This radical is the same as the kanji. It means <radical>have</radical>.,Have,2019-12-31T06:03:52.570216Z,https://www.wanikani.com/radicals/have
